Rep1,Sharing,PercAccuracy,sentenceNumber
1,9,70,39
1,4,18,40
1,57,73,41
1,43,85,42
1,47,74,43
1,10,76,44
1,57,77,45
0,25,42,46
0,56,94,47
1,12,84,48
1,1,1,49
0,61,79,50
0,54,82,51
0,40,56,52
1,9,60,53
1,37,97,54
0,47,61,55
1,53,79,56
0,45,100,57
0,27,21,58
1,55,88,59
1,59,68,60
0,14,4,1
0,62,63,2
0,65,58,3
1,62,80,4
1,54,22,5
0,61,61,6
0,59,17,7
0,57,62,8
1,12,7,9
1,35,13,10
0,24,3,11
1,57,81,12
0,35,24,13
1,31,21,14
0,58,59,15
1,88,81,16
0,55,56,17
0,19,18,18
1,67,94,19
0,62,64,20
1,3,2,21
0,23,42,22
1,57,63,23
0,62,94,24
1,65,83,25
1,59,85,26
1,11,58,27
0,76,78,28
0,45,56,29
0,18,40,30
0,41,36,31
1,26,24,32
0,7,41,33
0,12,20,34
1,31,60,35
0,62,63,36
0,74,58,37
0,23,38,38
1,58,58,39
0,25,20,40
1,68,83,41
1,69,82,42
1,72,79,43
1,58,60,44
1,61,78,45
0,72,83,46
1,57,82,47
1,53,6,48
0,31,17,49
0,66,64,50
1,70,94,51
1,54,60,52
0,17,20,53
1,56,96,54
1,38,56,55
0,60,81,56
0,63,78,57
1,42,62,58
1,68,75,59
1,71,80,60
1,1,1,1
0,1,61,2
0,24,100,3
1,11,85,4
1,1,61,5
1,17,100,6
0,1,61,7
1,26,73,8
0,4,1,9
0,1,1,10
0,1,1,11
0,7,66,12
1,11,63,13
1,1,8,14
1,15,97,15
0,1,82,16
0,1,5,17
1,7,60,18
0,1,82,19
0,40,100,20
1,3,1,21
0,1,27,22
1,21,81,23
0,2,69,24
0,35,73,25
1,6,61,26
1,1,61,27
0,5,74,28
1,1,1,29
0,1,1,30
1,5,38,31
1,1,21,32
1,1,23,33
0,3,1,34
1,1,1,35
0,4,58,36
0,4,60,37
0,1,61,38
1,5,68,39
1,3,3,40
0,38,100,41
1,1,76,42
0,1,100,43
1,2,20,44
0,11,41,45
0,1,7,46
1,12,100,47
1,1,17,48
0,4,2,49
0,21,70,50
1,40,100,51
0,12,68,52
1,1,1,53
1,19,100,54
0,5,65,55
1,40,100,56
1,1,80,57
0,3,1,58
0,9,82,59
1,4,82,60
0,1,1,1
1,24,100,2
1,43,83,3
0,37,61,4
0,5,26,5
0,5,21,6
0,21,61,7
1,16,43,8
0,2,19,9
0,10,25,10
1,5,7,11
1,14,64,12
0,10,65,13
1,24,92,14
1,57,59,15
0,51,42,16
0,32,84,17
1,58,64,18
0,73,79,19
0,63,79,20
0,4,5,21
1,42,95,22
1,64,81,23
0,63,94,24
1,80,79,25
1,29,81,26
1,8,53,27
1,25,100,28
1,22,62,29
0,6,37,30
1,8,39,31
1,33,66,32
0,1,62,33
0,23,62,34
0,12,40,35
1,60,91,36
0,21,64,37
1,3,8,38
1,25,62,39
0,5,15,40
1,42,79,41
1,38,95,42
0,51,81,43
1,10,37,44
0,33,67,45
0,2,39,46
0,51,78,47
0,2,26,48
0,2,13,49
0,63,65,50
1,87,92,51
0,1,42,52
1,17,38,53
1,60,100,54
0,12,19,55
1,48,100,56
1,40,84,57
0,11,64,58
1,40,69,59
1,62,58,60
1,1,11,1
0,1,68,2
0,1,16,3
0,1,66,4
1,1,49,5
0,4,62,6
1,1,65,7
0,1,36,8
0,1,35,9
1,1,65,10
0,1,1,11
1,6,66,12
1,16,27,13
1,1,70,14
0,5,46,15
1,1,75,16
1,4,44,17
1,1,43,18
0,1,48,19
0,14,63,20
0,1,58,21
1,1,82,22
0,1,37,23
1,1,91,24
0,1,61,25
0,6,84,26
1,1,58,27
1,2,91,28
1,6,1,29
0,1,2,30
1,1,1,31
1,11,45,32
0,1,43,33
1,1,34,34
1,5,32,35
0,16,67,36
1,1,43,37
0,12,23,38
1,1,68,39
0,5,42,40
0,5,69,41
1,2,78,42
1,1,68,43
0,1,55,44
1,1,67,45
1,1,43,46
0,5,82,47
0,1,45,48
1,1,15,49
0,1,47,50
0,3,62,51
0,4,70,52
1,1,45,53
1,5,75,54
0,1,51,55
1,1,63,56
0,1,91,57
0,1,35,58
1,4,57,59
0,6,43,60
1,1,41,1
0,40,32,2
0,60,57,3
1,20,48,4
0,21,38,5
0,79,81,6
0,40,42,7
0,21,33,8
0,21,41,9
0,1,1,10
1,1,1,11
0,54,61,12
1,61,64,13
0,21,21,14
1,79,81,15
0,80,76,16
0,1,7,17
1,41,47,18
0,62,70,19
1,89,83,20
0,1,1,21
0,20,19,22
1,90,73,23
0,72,83,24
1,81,80,25
0,41,13,26
1,20,33,27
1,100,100,28
1,20,22,29
0,21,19,30
0,61,60,31
1,20,20,32
0,21,21,33
1,1,7,34
0,21,23,35
0,38,41,36
1,61,60,37
0,1,1,38
0,32,35,39
1,1,1,40
1,72,81,41
1,100,100,42
1,96,100,43
1,20,14,44
0,61,70,45
0,22,10,46
0,72,91,47
0,1,1,48
1,21,14,49
1,61,62,50
1,81,88,51
1,60,79,52
1,80,61,53
0,72,90,54
1,81,100,55
1,80,80,56
